Scene,NPC / Context,Field,CIV,BW,CS,Row ID
City Hall,Commander Albert,NPC Name,Commander Albert,Commander Albert,Commander Albert,variants::CITY_HALL_BRITISH_OFFICER_SOUTH_NPC::chatBubbleSpeaker
City Hall,Commander Albert,NPC Line 1,"Singapore may have a new Chief Minister, but communist influence has not disappeared.",,,variants::CITY_HALL_BRITISH_OFFICER_SOUTH_NPC::chatBubbleTexts[0]
City Hall,Commander Albert,NPC Line 2,"Bus workers are upset, and communist groups know how to turn that anger into political support.",,,variants::CITY_HALL_BRITISH_OFFICER_SOUTH_NPC::chatBubbleTexts[1]
City Hall,Commander Albert,NPC Line 3,"If Marshall moves too slowly, they will use this dispute to grow stronger.",,,variants::CITY_HALL_BRITISH_OFFICER_SOUTH_NPC::chatBubbleTexts[2]
City Hall,Commander Albert,NPC Line 1,,A bus dispute is never just about buses. Communist groups can use it to spread influence across Singapore.,,config::CITY_HALL_BW_NPC_OVERRIDES::city-hall-british-officer-south::chatBubbleTexts[0]
City Hall,Commander Albert,NPC Line 2,,"They know workers are frustrated, so they step in and turn anger into politics.",,config::CITY_HALL_BW_NPC_OVERRIDES::city-hall-british-officer-south::chatBubbleTexts[1]
City Hall,Commander Albert,NPC Line 3,,"If City Hall moves too slowly, communists will use that frustration to win more support.",,config::CITY_HALL_BW_NPC_OVERRIDES::city-hall-british-officer-south::chatBubbleTexts[2]
City Hall,Commander Albert,NPC Line 1,,,"Labour Front may have won, but communist influence in Singapore has not gone away.",config::CITY_HALL_CS_NPC_OVERRIDES::city-hall-british-officer-south::chatBubbleTexts[0]
City Hall,Commander Albert,NPC Line 2,,,"Bus workers are angry, and communist groups know how to turn that anger into support.",config::CITY_HALL_CS_NPC_OVERRIDES::city-hall-british-officer-south::chatBubbleTexts[1]
City Hall,Commander Albert,NPC Line 3,,,"If the new government cannot calm things quickly, communists will say only they truly understand the workers.",config::CITY_HALL_CS_NPC_OVERRIDES::city-hall-british-officer-south::chatBubbleTexts[2]
City Hall,Major Alfred,NPC Name,Major Alfred,Major Alfred,Major Alfred,variants::CITY_HALL_BRITISH_OFFICER_WEST_NPC::chatBubbleSpeaker
City Hall,Major Alfred,NPC Line 1,The British are watching communist influence very closely in Singapore.,,,variants::CITY_HALL_BRITISH_OFFICER_WEST_NPC::chatBubbleTexts[0]
City Hall,Major Alfred,NPC Line 2,"Communist organisers are active in unions and Chinese schools, especially when people already feel ignored.",,,variants::CITY_HALL_BRITISH_OFFICER_WEST_NPC::chatBubbleTexts[1]
City Hall,Major Alfred,NPC Line 3,That is why Hock Lee matters. A labour dispute can become part of a bigger communist movement very quickly.,,,variants::CITY_HALL_BRITISH_OFFICER_WEST_NPC::chatBubbleTexts[2]
City Hall,Major Alfred,NPC Line 1,,"The real worry is communist influence in Singapore. They are active in unions, schools, and street politics.",,config::CITY_HALL_BW_NPC_OVERRIDES::city-hall-british-officer-west::chatBubbleTexts[0]
City Hall,Major Alfred,NPC Line 2,,"When people feel ignored, communist organisers have an easier time pulling them to their side.",,config::CITY_HALL_BW_NPC_OVERRIDES::city-hall-british-officer-west::chatBubbleTexts[1]
City Hall,Major Alfred,NPC Line 3,,That is why Hock Lee matters. A labour dispute can quickly become part of a bigger communist campaign.,,config::CITY_HALL_BW_NPC_OVERRIDES::city-hall-british-officer-west::chatBubbleTexts[2]
City Hall,Major Alfred,NPC Line 1,,,Do not look only at the election result. Look at how communist groups are trying to shape events in Singapore.,config::CITY_HALL_CS_NPC_OVERRIDES::city-hall-british-officer-west::chatBubbleTexts[0]
City Hall,Major Alfred,NPC Line 2,,,"They are strongest where people already feel disappointed, especially in unions and Chinese schools.",config::CITY_HALL_CS_NPC_OVERRIDES::city-hall-british-officer-west::chatBubbleTexts[1]
City Hall,Major Alfred,NPC Line 3,,,"If ordinary people feel let down next week, communists will use that to grow stronger.",config::CITY_HALL_CS_NPC_OVERRIDES::city-hall-british-officer-west::chatBubbleTexts[2]
City Hall,Party Worker,NPC Name,Party Worker,Party Worker,Party Worker,variants::CITY_HALL_PARTY_WORKER_ARTIFACT_NPC::chatBubbleSpeaker
City Hall,Party Worker,NPC Line,Labour Front has won. Read the manifesto carefully; people will now expect these promises to be kept.,Labour Front has won. Read the manifesto carefully; people will now expect these promises to be kept.,Labour Front has won. Read the manifesto carefully; people will now expect these promises to be kept.,variants::CITY_HALL_PARTY_WORKER_ARTIFACT_NPC::chatBubbleText
City Hall,Party Worker,NPC Line 1,,You look like you've come from the bus lines. Take the manifesto and see what the new government promised.,,config::CITY_HALL_BW_NPC_OVERRIDES::city-hall-party-worker-manifesto::chatBubbleTexts[0]
City Hall,Party Worker,NPC Line 1,,,First time hearing the result? Labour Front has won. Read the manifesto and see what people now expect this new government to do.,config::CITY_HALL_CS_NPC_OVERRIDES::city-hall-party-worker-manifesto::chatBubbleTexts[0]
,,,,,,
Market,,Scene Title,Pre-Riot: Market Conversations,Pre-Riot: Market,Pre-Riot: Market,story::MARKET_ROUTE::sceneTitle
Market,,Scene Description,"In the market, Rajiv hears why labour anger spreads so easily: wages lag, prices rise, and cramped housing sharpen every complaint.","At the market, every purchase confirms what depot talk already says: wages do not keep up with food, rent, and household needs.","At the market, Kim Chuan hears that the same rising prices burdening families are also feeding worker anger at Hock Lee.",story::MARKET_ROUTE::sceneSubtitle
Market,Devan Nair,NPC Name,Devan Nair,Devan Nair,Devan Nair,variants::MARKET_DEVAN_NAIR_NPC::chatBubbleSpeaker
Market,Devan Nair,NPC Line 1,"I'm Devan Nair, a trade unionist working with workers across Singapore.","I'm Devan Nair, a trade unionist working with workers across Singapore.","I'm Devan Nair, a trade unionist working with workers across Singapore.",variants::MARKET_DEVAN_NAIR_NPC::chatBubbleTexts[0]
Market,Devan Nair,NPC Line 2,"Everywhere I go I hear the same complaint: long hours, low pay, and then the insult of being told to endure it quietly.","Everywhere I go I hear the same complaint: long hours, low pay, and then the insult of being told to endure it quietly.","Everywhere I go I hear the same complaint: long hours, low pay, and then the insult of being told to endure it quietly.",variants::MARKET_DEVAN_NAIR_NPC::chatBubbleTexts[1]
Market,Devan Nair,NPC Line 3,"When wages fail and prices rise, a bus worker, hawker, and dock labourer start hearing themselves in one another.","When wages fail and prices rise, a bus worker, hawker, and dock labourer start hearing themselves in one another.","When wages fail and prices rise, a bus worker, hawker, and dock labourer start hearing themselves in one another.",variants::MARKET_DEVAN_NAIR_NPC::chatBubbleTexts[2]
Market,Devan Nair,NPC Line 4,That is the ground on which a strike like Hock Lee can gather sympathy quickly.,That is the ground on which a strike like Hock Lee can gather sympathy quickly.,That is the ground on which a strike like Hock Lee can gather sympathy quickly.,variants::MARKET_DEVAN_NAIR_NPC::chatBubbleTexts[3]
Market,Devan Nair,NPC Line 5,"If Singapore wants stability, it has to treat labour as a human problem, not only a police one.","If Singapore wants stability, it has to treat labour as a human problem, not only a police one.","If Singapore wants stability, it has to treat labour as a human problem, not only a police one.",variants::MARKET_DEVAN_NAIR_NPC::chatBubbleTexts[4]
Market,Pak Hamid,NPC Name,Pak Hamid,Pak Hamid,Pak Hamid,variants::MARKET_FISHERMAN_NPC::chatBubbleSpeaker
Market,Pak Hamid,NPC Line 1,"Some mornings I bring in a fair catch and still go home short after paying for rice, fuel, and rent.","Some mornings I bring in a fair catch and still go home short after paying for rice, fuel, and rent.","Some mornings I bring in a fair catch and still go home short after paying for rice, fuel, and rent.",variants::MARKET_FISHERMAN_NPC::chatBubbleTexts[0]
Market,Pak Hamid,NPC Line 2,"The city grows, but for men like us the kampong stays crowded and the drains stay bad.","The city grows, but for men like us the kampong stays crowded and the drains stay bad.","The city grows, but for men like us the kampong stays crowded and the drains stay bad.",variants::MARKET_FISHERMAN_NPC::chatBubbleTexts[1]
Market,Pak Hamid,NPC Line 3,That is why people discuss Hock Lee here. Rising prices are felt in the market before they become speeches elsewhere.,That is why people discuss Hock Lee here. Rising prices are felt in the market before they become speeches elsewhere.,That is why people discuss Hock Lee here. Rising prices are felt in the market before they become speeches elsewhere.,variants::MARKET_FISHERMAN_NPC::chatBubbleTexts[2]
Market,Artist,NPC Name,Artist,Artist,Artist,variants::MARKET_ARTIST_NPC::chatBubbleSpeaker
Market,Artist,NPC Line,This woodcut shows the Chinese Middle School students' protest of 13 May 1954. Images like this help explain why students might answer Hock Lee with sympathy a year later.,This woodcut shows the Chinese Middle School students' protest of 13 May 1954. Images like this help explain why students might answer Hock Lee with sympathy a year later.,This woodcut shows the Chinese Middle School students' protest of 13 May 1954. Images like this help explain why students might answer Hock Lee with sympathy a year later.,variants::MARKET_ARTIST_NPC::chatBubbleText
Market,Mdm Lee,NPC Name,Mdm Lee,Mdm Lee,Mdm Lee,variants::MARKET_FOOD_SELLER_EAST_NPC::chatBubbleSpeaker
Market,Mdm Lee,NPC Line 1,"Customers complain my noodles cost more now, but charcoal, oil, and ingredients all cost more too.","Customers complain my noodles cost more now, but charcoal, oil, and ingredients all cost more too.",,variants::MARKET_FOOD_SELLER_EAST_NPC::chatBubbleTexts[0]
Market,Mdm Lee,NPC Line 2,"The poor blame the seller, the seller blames the wholesaler, and everyone waits to see whether the new government listens any better than the old one.","The poor blame the seller, the seller blames the wholesaler, and everyone waits to see whether the new government listens any better than the old one.",,variants::MARKET_FOOD_SELLER_EAST_NPC::chatBubbleTexts[1]
Market,Mdm Lee,NPC Line 3,A family can work all day in Singapore and still worry about next month's rent. That is the sort of pressure that makes strikes feel understandable.,A family can work all day in Singapore and still worry about next month's rent. That is the sort of pressure that makes strikes feel understandable.,,variants::MARKET_FOOD_SELLER_EAST_NPC::chatBubbleTexts[2]
Market,Mdm Lee,NPC Line 1,,,"Customers complain my noodles cost more now, but charcoal, oil, and ingredients all cost more too.",config::MARKET_CS_NPC_OVERRIDES::market-food-seller-east::chatBubbleTexts[0]
Market,Muthu Krishnan,NPC Name,Muthu Krishnan,Muthu Krishnan,Muthu Krishnan,variants::MARKET_BUS_WORKER_EAST_NPC::chatBubbleSpeaker
Market,Muthu Krishnan,NPC Line 1,So many hours on the road and still my pay disappears the moment I hand it over at home.,So many hours on the road and still my pay disappears the moment I hand it over at home.,So many hours on the road and still my pay disappears the moment I hand it over at home.,variants::MARKET_BUS_WORKER_EAST_NPC::chatBubbleTexts[0]
Market,Muthu Krishnan,NPC Line 2,"They want punctual buses, but drivers are tired, conductors are stretched, and the company treats us as replaceable.","They want punctual buses, but drivers are tired, conductors are stretched, and the company treats us as replaceable.","They want punctual buses, but drivers are tired, conductors are stretched, and the company treats us as replaceable.",variants::MARKET_BUS_WORKER_EAST_NPC::chatBubbleTexts[1]
Market,Muthu Krishnan,NPC Line 3,That is why men at Hock Lee are talking about more than money now. Being treated as disposable has its own anger.,That is why men at Hock Lee are talking about more than money now. Being treated as disposable has its own anger.,That is why men at Hock Lee are talking about more than money now. Being treated as disposable has its own anger.,variants::MARKET_BUS_WORKER_EAST_NPC::chatBubbleTexts[2]
Market,Tan Ah Seng,NPC Name,Tan Ah Seng,Tan Ah Seng,Tan Ah Seng,variants::MARKET_BUS_WORKER_SOUTH_NPC::chatBubbleSpeaker
Market,Tan Ah Seng,NPC Line 1,"I am struggling to find a new house. The old place leaks, but every better room costs more than I can manage.","I am struggling to find a new house. The old place leaks, but every better room costs more than I can manage.","I am struggling to find a new house. The old place leaks, but every better room costs more than I can manage.",variants::MARKET_BUS_WORKER_SOUTH_NPC::chatBubbleTexts[0]
Market,Tan Ah Seng,NPC Line 2,"We keep the city moving, yet many of us still raise children in cramped quarters with bad roofs and worse sanitation.","We keep the city moving, yet many of us still raise children in cramped quarters with bad roofs and worse sanitation.","We keep the city moving, yet many of us still raise children in cramped quarters with bad roofs and worse sanitation.",variants::MARKET_BUS_WORKER_SOUTH_NPC::chatBubbleTexts[1]
Market,Tan Ah Seng,NPC Line 3,A man can accept hard work. It is harder to accept that hard work still buys so little and still earns so little respect.,A man can accept hard work. It is harder to accept that hard work still buys so little and still earns so little respect.,A man can accept hard work. It is harder to accept that hard work still buys so little and still earns so little respect.,variants::MARKET_BUS_WORKER_SOUTH_NPC::chatBubbleTexts[2]
Market,Hassan bin Ali,NPC Name,Hassan bin Ali,Hassan bin Ali,Hassan bin Ali,variants::MARKET_BUS_WORKER_WEST_NPC::chatBubbleSpeaker
Market,Hassan bin Ali,NPC Line 1,"Everything is so expensive now. I joke about eggs, but truthfully even simple meals are becoming a calculation.","Everything is so expensive now. I joke about eggs, but truthfully even simple meals are becoming a calculation.","Everything is so expensive now. I joke about eggs, but truthfully even simple meals are becoming a calculation.",variants::MARKET_BUS_WORKER_WEST_NPC::chatBubbleTexts[0]
Market,Hassan bin Ali,NPC Line 2,"When wages stay flat and food climbs, every small purchase turns into an argument at home.","When wages stay flat and food climbs, every small purchase turns into an argument at home.","When wages stay flat and food climbs, every small purchase turns into an argument at home.",variants::MARKET_BUS_WORKER_WEST_NPC::chatBubbleTexts[1]
Market,Hassan bin Ali,NPC Line 3,That is why people join unions. It is not only politics. It is about surviving with some dignity.,That is why people join unions. It is not only politics. It is about surviving with some dignity.,That is why people join unions. It is not only politics. It is about surviving with some dignity.,variants::MARKET_BUS_WORKER_WEST_NPC::chatBubbleTexts[2]
,,,,,,
Home (Civil Servant),,Scene Title,Pre-Riot: Unrest at Home,,,story::HOME_CIVIL_SERVANT_ROUTE::sceneTitle
Home (Civil Servant),,Scene Description,"At home, radio bulletins and family questions turn official briefings into private unease. Hock Lee no longer feels like just another case file.",,,story::HOME_CIVIL_SERVANT_ROUTE::sceneSubtitle
Home (Civil Servant),Lakshmi,NPC Name,Lakshmi,,,variants::HOME_CIVIL_SERVANT_WIFE_NPC::chatBubbleSpeaker
Home (Civil Servant),Lakshmi,NPC Line 1,You've been quiet since you came home. What are all those reports and meetings really telling you?,,,variants::HOME_CIVIL_SERVANT_WIFE_NPC::chatBubbleTexts[0]
Home (Civil Servant),Rising Prices,Chat Option 1 — Player Option Text,Rising prices are making everything worse.,,,variants::HOME_CIVIL_SERVANT_WIFE_NPC::dialogueChoices::[0]::label
Home (Civil Servant),Rising Prices,Chat Option 1 — Player Says,Rising prices are making every complaint sharper. Even everyday worker problems are starting to grow into something bigger.,,,variants::HOME_CIVIL_SERVANT_WIFE_NPC::dialogueChoices::[0]::playerText
Home (Civil Servant),Rising Prices,Chat Option 1 — NPC Reply,Then the city is shakier than the papers admit. Promise me you will not treat this like just another file.,,,variants::HOME_CIVIL_SERVANT_WIFE_NPC::dialogueChoices::[0]::npcReply
Home (Civil Servant),Government Unsure,Chat Option 2 — Player Option Text,"The office thinks it can manage this, but I'm no longer sure.",,,variants::HOME_CIVIL_SERVANT_WIFE_NPC::dialogueChoices::[1]::label
Home (Civil Servant),Government Unsure,Chat Option 2 — Player Says,"The office still thinks meetings and reports can manage this dispute, but I'm no longer sure that will be enough.",,,variants::HOME_CIVIL_SERVANT_WIFE_NPC::dialogueChoices::[1]::playerText
Home (Civil Servant),Government Unsure,Chat Option 2 — NPC Reply,"That doubt worries me more than any headline. If even you sound doubtful, the situation must be serious.",,,variants::HOME_CIVIL_SERVANT_WIFE_NPC::dialogueChoices::[1]::npcReply
Home (Civil Servant),Rumor Faster Than Facts,Chat Option 3 — Player Option Text,Rumours are moving faster than facts.,,,variants::HOME_CIVIL_SERVANT_WIFE_NPC::dialogueChoices::[2]::label
Home (Civil Servant),Rumor Faster Than Facts,Chat Option 3 — Player Says,What troubles me most is how fast rumour is moving. People may act on fear before the government even understands the situation.,,,variants::HOME_CIVIL_SERVANT_WIFE_NPC::dialogueChoices::[2]::playerText
Home (Civil Servant),Rumor Faster Than Facts,Chat Option 3 — NPC Reply,Then be careful what you repeat and who you trust. Fear can do damage before any order is given.,,,variants::HOME_CIVIL_SERVANT_WIFE_NPC::dialogueChoices::[2]::npcReply
Home (Civil Servant),Poster,NPC Line,"A polished travel poster promises a calm, thriving Singapore that Rajiv's reports keep complicating.",,,variants::HOME_CIVIL_SERVANT_ARTIFACT_NPCS::[0]::chatBubbleText
Home (Civil Servant),Parker Pen,NPC Line,"A fountain pen lies beside Rajiv's reading, ready to turn observation into official notes.",,,variants::HOME_CIVIL_SERVANT_ARTIFACT_NPCS::[1]::chatBubbleText
,,,,,,
Home (Bus Worker),,Scene Title,,Pre-Riot: Home,,story::HOME_BUS_WORKER_ROUTE::sceneTitle
Home (Bus Worker),,Scene Description,,"At home, Ahmad explains why the men are angry: union leave is denied, a rival union is treated better, and management keeps dismissing workers as warnings to the rest.",,story::HOME_BUS_WORKER_ROUTE::sceneSubtitle
Home (Bus Worker),Aminah,NPC Name,,Aminah,,variants::HOME_BUS_WORKER_WIFE_NPC::chatBubbleSpeaker
Home (Bus Worker),Aminah,NPC Line 1,,"You came home looking worn out again. Tell me honestly, why are the men at Hock Lee talking about sitting at the gates and losing pay, and what happens to us if it all turns bad?",,variants::HOME_BUS_WORKER_WIFE_NPC::chatBubbleTexts[0]
Home (Bus Worker),Union Recognition Dismissals,Chat Option 1 — Player Option Text,,Management keeps dismissing men and brushing off the union.,,variants::HOME_BUS_WORKER_WIFE_NPC::dialogueChoices::[0]::label
Home (Bus Worker),Union Recognition Dismissals,Chat Option 1 — Player Says,,"It did not begin with one bad day. Hock Lee kept denying union leave, treating the other union better, and dismissing men as warnings to the rest of us. After 229 workers were thrown out, more men started to think a strike was the only way to make management listen.",,variants::HOME_BUS_WORKER_WIFE_NPC::dialogueChoices::[0]::playerText
Home (Bus Worker),Union Recognition Dismissals,Chat Option 1 — NPC Reply,,That is exactly what frightens me. Every dismissal feels like a warning to every other man still working there. I do not want your name to be the next one carried into that struggle.,,variants::HOME_BUS_WORKER_WIFE_NPC::dialogueChoices::[0]::npcReply
Home (Bus Worker),Wages Prices,Chat Option 2 — Player Option Text,,Our wages no longer keep up with what life costs.,,variants::HOME_BUS_WORKER_WIFE_NPC::dialogueChoices::[1]::label
Home (Bus Worker),Wages Prices,Chat Option 2 — Player Says,,"Look at what things cost now. Rice, rent, oil, and even the small household items keep going up, but our pay does not. Men finish long shifts, come home exhausted, and still watch every coin. That kind of strain follows us back onto the buses and into every talk at the depot.",,variants::HOME_BUS_WORKER_WIFE_NPC::dialogueChoices::[1]::playerText
Home (Bus Worker),Wages Prices,Chat Option 2 — NPC Reply,,"I know the money is not enough. I feel it every time I go to market and have to put something back. That is why I understand the anger, even while I worry what lost pay during a strike would do to us.",,variants::HOME_BUS_WORKER_WIFE_NPC::dialogueChoices::[1]::npcReply
Home (Bus Worker),Conditions Dignity,Chat Option 3 — Player Option Text,,"It is also about conditions and respect, not only pay.",,variants::HOME_BUS_WORKER_WIFE_NPC::dialogueChoices::[2]::label
Home (Bus Worker),Conditions Dignity,Chat Option 3 — Player Says,,"People outside say it is all politics, but at the depot it feels more ordinary than that. The men are tired of the hours, the pressure, and the way management ignores us, especially when union men ask for fair treatment. After enough of that, it stops being only about money. It becomes about whether a man is treated with respect.",,variants::HOME_BUS_WORKER_WIFE_NPC::dialogueChoices::[2]::playerText
Home (Bus Worker),Conditions Dignity,Chat Option 3 — NPC Reply,,"Then promise me you will be careful. I can hear why the men are angry. But once a strike begins, students, police, and strangers all gather around it, and that is when fear grows bigger.",,variants::HOME_BUS_WORKER_WIFE_NPC::dialogueChoices::[2]::npcReply
Home (Bus Worker),Family Duty,Chat Option 4 — Player Option Text,,I am thinking about this house as much as the strike.,,variants::HOME_BUS_WORKER_WIFE_NPC::dialogueChoices::[3]::label
Home (Bus Worker),Family Duty,Chat Option 4 — Player Says,,"That is the hardest part. At the depot I stand with the men because what they are saying is real, but on the walk home I think about this room, the rent, and all of you. I am trying to stand by my fellow workers without failing my family.",,variants::HOME_BUS_WORKER_WIFE_NPC::dialogueChoices::[3]::playerText
Home (Bus Worker),Family Duty,Chat Option 4 — NPC Reply,,"Then hold on to that thought when the crowd gets louder. If you must take a stand, do it with open eyes and remember who will carry the cost with you.",,variants::HOME_BUS_WORKER_WIFE_NPC::dialogueChoices::[3]::npcReply
Home (Bus Worker),Tingkat,NPC Line,,"A tingkat brings the routines of food, work, and family into the same cramped room.",,variants::HOME_BUS_WORKER_ARTIFACT_NPCS::[0]::chatBubbleText
Home (Bus Worker),Hand Fan,NPC Line,,The woven hand fan makes the heat and closeness of the room part of the story too.,,variants::HOME_BUS_WORKER_ARTIFACT_NPCS::[1]::chatBubbleText
,,,,,,
Home (Chinese Student),,Scene Title,,,Pre-Riot: Home,story::HOME_STUDENT_ROUTE::sceneTitle
Home (Chinese Student),,Scene Description,,,"At home, Ong Kim Wah explains the dispute plainly: unfair treatment, union tension, and dismissals are pushing the depot toward strike action.",story::HOME_STUDENT_ROUTE::sceneSubtitle
Home (Chinese Student),Ong Kim Wah,NPC Name,,,Ong Kim Wah,variants::HOME_CHINESE_STUDENT_SIBLING_NPC::chatBubbleSpeaker
Home (Chinese Student),Ong Kim Wah,NPC Line 1,,,"Kim Chuan, I came straight from Hock Lee. The 229 dismissals have changed everything. Men are at the gates now, and the whole depot feels like a place waiting for a spark.",variants::HOME_CHINESE_STUDENT_SIBLING_NPC::chatBubbleTexts[0]
Home (Chinese Student),Hock Lee Dismissals,Chat Option 1 — Player Option Text,,,Ask what started the trouble at the depot.,variants::HOME_CHINESE_STUDENT_SIBLING_NPC::dialogueChoices::[0]::label
Home (Chinese Student),Hock Lee Dismissals,Chat Option 1 — Player Says,,,You look worn out. What exactly has been happening at Hock Lee to make everyone so tense?,variants::HOME_CHINESE_STUDENT_SIBLING_NPC::dialogueChoices::[0]::playerText
Home (Chinese Student),Hock Lee Dismissals,Chat Option 1 — NPC Reply,,,"It began with unfair treatment. Men were denied leave to attend union meetings, workers in the other union seemed to get better treatment, and dismissals kept hanging over us. When the company finally pushed out 229 workers, every man at Hock Lee knew the warning could one day have been his.",variants::HOME_CHINESE_STUDENT_SIBLING_NPC::dialogueChoices::[0]::npcReply
Home (Chinese Student),Hock Lee Union Demands,Chat Option 2 — Player Option Text,,,Ask what the workers are demanding.,variants::HOME_CHINESE_STUDENT_SIBLING_NPC::dialogueChoices::[1]::label
Home (Chinese Student),Hock Lee Union Demands,Chat Option 2 — Player Says,,,At school I keep hearing people talk about the union. What do the workers actually want?,variants::HOME_CHINESE_STUDENT_SIBLING_NPC::dialogueChoices::[1]::playerText
Home (Chinese Student),Hock Lee Union Demands,Chat Option 2 — NPC Reply,,,"Most of the men want the company to take the union seriously, bring back the dismissed workers, and deal more fairly with wages and conditions. People outside keep calling it politics, but at the depot it feels more basic than that. The men are tired of being treated as disposable.",variants::HOME_CHINESE_STUDENT_SIBLING_NPC::dialogueChoices::[1]::npcReply
Home (Chinese Student),Hock Lee Not Yet Riot,Chat Option 3 — Player Option Text,,,Ask whether it has already become a riot.,variants::HOME_CHINESE_STUDENT_SIBLING_NPC::dialogueChoices::[2]::label
Home (Chinese Student),Hock Lee Not Yet Riot,Chat Option 3 — Player Says,,,People in the neighbourhood are already using dangerous words. Has it turned into a riot yet?,variants::HOME_CHINESE_STUDENT_SIBLING_NPC::dialogueChoices::[2]::playerText
Home (Chinese Student),Hock Lee Not Yet Riot,Chat Option 3 — NPC Reply,,,"Not yet. Right now it is still a labour dispute, with men sitting at the gates and students starting to arrive with food and songs. But tempers are short, police are nearby, and it could turn ugly very quickly.",variants::HOME_CHINESE_STUDENT_SIBLING_NPC::dialogueChoices::[2]::npcReply
Home (Chinese Student),Hock Lee Reaches Home,Chat Option 4 — Player Option Text,,,Ask why it is reaching students and families so quickly.,variants::HOME_CHINESE_STUDENT_SIBLING_NPC::dialogueChoices::[3]::label
Home (Chinese Student),Hock Lee Reaches Home,Chat Option 4 — Player Says,,,"If this is happening at the bus depot, why does it already feel so close to school and home?",variants::HOME_CHINESE_STUDENT_SIBLING_NPC::dialogueChoices::[3]::playerText
Home (Chinese Student),Hock Lee Reaches Home,Chat Option 4 — NPC Reply,,,"Because bus workers do not live inside the depot gates. We come home to the same kitchens, markets, and school fees as everyone else. Once enough families start worrying about dismissals, lost pay, and what the police may do next, the dispute stops being only the workers' problem.",variants::HOME_CHINESE_STUDENT_SIBLING_NPC::dialogueChoices::[3]::npcReply
Home (Chinese Student),Home Student Kerosene Lamp,NPC Line,,,"A kerosene lamp marks the kind of evening light under which worry, study, and family talk continue.",variants::HOME_STUDENT_ARTIFACT_NPCS::[0]::chatBubbleText
Home (Chinese Student),Home Student Textbook,NPC Line,,,The textbook reminds you that school lessons shape how students understand politics before they ever join a crowd.,variants::HOME_STUDENT_ARTIFACT_NPCS::[1]::chatBubbleText
Home (Chinese Student),Home Student Tingkat,NPC Line,,,A tingkat would be useful if you need to carry food to the depot.,variants::HOME_STUDENT_ARTIFACT_NPCS::[2]::chatBubbleText
,,,,,,
